   parities (0, 0, 0, 0): OK  (54s, rank 70850)
   parities (0, 0, 0, 1): OK  (81s, rank 70850)
   parities (0, 0, 1, 0): OK  (79s, rank 70850)
   parities (0, 0, 1, 1): OK  (76s, rank 70850)
   parities (0, 1, 0, 0): OK  (81s, rank 70850)
   parities (0, 1, 0, 1): OK  (86s, rank 70850)
   parities (0, 1, 1, 0): OK  (89s, rank 70850)
   parities (0, 1, 1, 1): OK  (76s, rank 70850)
   parities (1, 0, 0, 0): OK  (61s, rank 70850)
   parities (1, 0, 0, 1): OK  (67s, rank 70850)
   parities (1, 0, 1, 0): OK  (95s, rank 70850)
   parities (1, 0, 1, 1): OK  (92s, rank 70850)
   parities (1, 1, 0, 0): OK  (73s, rank 70850)
   parities (1, 1, 0, 1): OK  (71s, rank 70850)
   parities (1, 1, 1, 0): OK  (42s, rank 70850)
   parities (1, 1, 1, 1): OK  (64s, rank 70850)
ALL OK (Jacobiator formula follows from Leibniz + skew-symmetry alone)
